,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,popularity,release_date,length,artist
42,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",3,3QuzFJUtG9H4RoEv5J9mCP,"WHISTLE - Acoustic Ver. BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:3QuzFJUtG9H4RoEv5J9mCP,0.655,0.729,0.512,0.0,0.695,-9.975,0.0527,102.935,0.663,4,42,2019-03-13,213933,BLACKPINK
43,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",4,5x9VzjchhXQfDBZcnO5xPM,"STAY - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:5x9VzjchhXQfDBZcnO5xPM,0.245,0.551,0.407,0.0,0.298,-8.613,0.0306,88.099,0.507,4,42,2019-03-13,235066,BLACKPINK
44,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",5,7Iv6YcXoLNhTPYhHqtyNUy,"LET IT BE〜 YOU&I〜 ONLY LOOK AT ME / ROSÉ - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:7Iv6YcXoLNhTPYhHqtyNUy,0.837,0.359,0.29,0.0,0.507,-11.105,0.038,137.304,0.226,4,58,2019-03-13,296033,BLACKPINK
45,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",6,1sIKkwYIffUw0vLU8RsWIR,"雪の華 / JISOO - LIVE BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:1sIKkwYIffUw0vLU8RsWIR,0.456,0.267,0.312,0.0,0.31,-11.951,0.0314,142.572,0.327,4,52,2019-03-13,339200,BLACKPINK
46,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",7,5S7by1wwGii36WAs4sBjzc,"SOLO - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:5S7by1wwGii36WAs4sBjzc,0.0535,0.649,0.637,5.3e-06,0.95,-9.747,0.263,95.009,0.365,4,53,2019-03-13,170733,BLACKPINK
47,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",8,6149wOhItvVX0zoa1KK5hw,"ラスト・クリスマス 〜 赤鼻のトナカイ - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:6149wOhItvVX0zoa1KK5hw,0.127,0.497,0.58,0.0,0.671,-10.129,0.0648,106.953,0.622,4,45,2019-03-13,232566,BLACKPINK
48,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",9,6X9DNG2WR3IclfneGurU0T,"Kiss and Make Up - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:6X9DNG2WR3IclfneGurU0T,0.13,0.65,0.697,0.0,0.862,-9.582,0.272,99.771,0.551,4,54,2019-03-13,190500,BLACKPINK
49,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",10,1fMXWEkJpIH483OrKn1zFV,"SO HOT - THEBLACKLABEL REMIX BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:1fMXWEkJpIH483OrKn1zFV,0.0588,0.783,0.809,1e-05,0.515,-10.0,0.221,140.025,0.814,4,64,2019-03-13,144166,BLACKPINK
50,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",11,7nWREW5AWOgLMmW6jKJUEz,"REALLY - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:7nWREW5AWOgLMmW6jKJUEz,0.0229,0.711,0.815,0.0,0.803,-7.164,0.118,141.973,0.804,4,42,2019-03-13,197966,BLACKPINK
51,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",12,5dYjvCegNq6LbwWTzy1xIC,"SEE U LATER - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:5dYjvCegNq6LbwWTzy1xIC,0.0376,0.737,0.871,0.0,0.84,-7.936,0.125,106.978,0.685,4,41,2019-03-13,197800,BLACKPINK
52,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",13,1uK64bAOSKhKFTUwrF2r2p,"BOOMBAYAH - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:1uK64bAOSKhKFTUwrF2r2p,0.0677,0.682,0.835,0.0,0.797,-6.269,0.0928,125.056,0.421,4,43,2019-03-13,244300,BLACKPINK
53,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",14,6b5xktkZLF96lv5HrFucu4,"PLAYING WITH FIRE - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:6b5xktkZLF96lv5HrFucu4,0.0231,0.619,0.756,0.0,0.842,-6.859,0.122,96.97,0.593,4,42,2019-03-13,198533,BLACKPINK
54,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",15,4sB4UCnEu6UVC0dWtCqUAT,"AS IF IT’S YOUR LAST - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:4sB4UCnEu6UVC0dWtCqUAT,0.0475,0.626,0.833,0.0,0.574,-6.327,0.0778,125.027,0.516,4,42,2019-03-13,222533,BLACKPINK
55,BLACKPINK IN YOUR AREA,1,5nIjOnMbC0QDMrYFLGx0yV,BOOMBAYAH,spotify:track:5nIjOnMbC0QDMrYFLGx0yV,0.023,0.748,0.873,2.76e-06,0.377,-2.179,0.0516,124.951,0.506,4,65,2018-12-05,240613,BLACKPINK
56,BLACKPINK IN YOUR AREA,2,3sgrwjWNJy753U30irIdEN,WHISTLE,spotify:track:3sgrwjWNJy753U30irIdEN,0.00237,0.825,0.721,0.0,0.0977,-5.444,0.0473,102.999,0.59,4,55,2018-12-05,211373,BLACKPINK
57,BLACKPINK IN YOUR AREA,3,29x3S9kmzTGHswtjSVeUPr,PLAYING WITH FIRE,spotify:track:29x3S9kmzTGHswtjSVeUPr,0.0243,0.664,0.779,0.0,0.178,-3.836,0.0681,97.032,0.655,4,54,2018-12-05,195986,BLACKPINK
